Per Capita Personal Income by County (Dollars),,,,,,,,,,,,,
Series ID,Region Name,Region Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PCPI19015,"Boone County, IA",19015,39055,38885,42156,43655,44936,45448,45243,45215,45668,47952,49794
PCPI21015,"Boone County, KY",21015,36498,37104,38983,40067,39768,41527,43005,44141,45705,47823,49778
PCPI18011,"Boone County, IN",18011,49687,51195,55431,58020,60476,62253,65633,69306,70455,74413,76241
PCPI54005,"Boone County, WV",54005,29089,30126,32647,32159,30532,30644,31098,30334,32142,34859,35615
PCPI31011,"Boone County, NE",31011,37635,43211,60480,51295,59168,59530,57024,54536,49566,53091,58042
PCPI17007,"Boone County, IL",17007,34161,34937,37247,38917,39575,40445,42066,43684,45118,47006,47682
PCPI05009,"Boone County, AR",05009,27377,28145,29194,30506,30501,32249,33131,33352,34130,35628,36414
PCPI48033,"Borden County, TX",48033,34257,47277,50008,55475,59712,51095,48527,42307,46175,67094,61287
PCPI48035,"Bosque County, TX",48035,31544,32484,34413,35698,36216,37878,38313,38752,39436,41271,42366
PCPI22015,"Bossier Parish, LA",22015,35262,37183,39044,38925,38702,41329,41339,41494,41722,43950,45110
PCPI51023,"Botetourt County, VA",51023,39117,39330,41464,42860,43476,45113,46710,47604,48473,50359,51738
PCPI38009,"Bottineau County, ND",38009,48808,49024,52368,70436,65075,61997,54326,51894,53366,62241,61071
PCPI08013,"Boulder County, CO",08013,46942,50465,52309,54984,56706,60575,64287,65363,69968,73518,76527
PCPI16021,"Boundary County, ID",16021,25844,27305,29411,31018,31733,33642,33658,33019,34636,36880,38142
PCPI21017,"Bourbon County, KY",21017,31289,31463,33315,34729,38318,41545,45101,45625,47997,49066,51505
PCPI20011,"Bourbon County, KS",20011,32661,32733,33673,36067,36343,37309,39069,39544,40950,45087,46149
PCPI48037,"Bowie County, TX",48037,32804,33960,35321,35779,34841,35584,37393,37865,39187,40048,41172
PCPI38011,"Bowman County, ND",38011,47011,53489,61086,67990,71706,69195,59557,55903,57830,59530,66566
PCPI31013,"Box Butte County, NE",31013,34062,34971,41789,42415,43371,45095,45022,43284,46140,48906,50518
