All-Transactions House Price Index by County (Index 2000=100),,,,,,,,,,,,,
Series ID,Region Name,Region Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ATNHPIUS13021A,"Bibb County, GA",13021,112.05,105.85,101.60,100.20,101.45,102.61,103.50,105.88,111.73,115.77,121.69
ATNHPIUS01007A,"Bibb County, AL",01007,122.60,125.49,123.85,118.57,126.53,119.44,124.15,126.75,135.50,142.07,146.75
ATNHPIUS56003A,"Big Horn County, WY",56003,162.16,156.39,160.70,159.80,167.47,167.16,176.73,183.75,188.95,191.82,205.45
ATNHPIUS16011A,"Bingham County, ID",16011,143.59,137.09,134.60,137.16,140.77,145.69,153.00,160.32,179.70,194.28,212.24
ATNHPIUS19013A,"Black Hawk County, IA",19013,134.30,134.12,134.81,137.29,139.95,141.47,142.76,144.02,149.98,152.25,154.28
ATNHPIUS18009A,"Blackford County, IN",18009,101.10,101.76,99.06,100.94,102.88,104.90,100.09,102.83,118.29,111.94,124.57
ATNHPIUS37017A,"Bladen County, NC",37017,123.61,122.16,124.98,120.76,125.96,128.84,127.66,133.86,133.98,128.67,143.33
ATNHPIUS40011A,"Blaine County, OK",40011,142.56,140.42,146.59,133.68,134.77,149.87,#N/A,146.23,157.36,148.56,153.82
ATNHPIUS16013A,"Blaine County, ID",16013,131.63,113.58,101.59,108.42,123.92,129.76,137.95,150.60,163.61,173.74,185.51
ATNHPIUS42013A,"Blair County, PA",42013,133.66,134.09,136.35,138.09,137.67,138.20,141.61,146.28,149.14,152.34,155.77
ATNHPIUS48031A,"Blanco County, TX",48031,141.18,140.01,138.79,143.94,148.49,168.47,174.69,192.46,201.51,220.96,219.17
ATNHPIUS01009A,"Blount County, AL",01009,120.23,116.48,113.88,115.15,115.48,117.38,118.92,125.30,128.52,133.42,138.81
ATNHPIUS47009A,"Blount County, TN",47009,133.43,130.53,128.67,130.30,133.12,134.68,139.36,146.49,155.38,165.50,173.07
ATNHPIUS27013A,"Blue Earth County, MN",27013,125.27,120.86,122.12,123.58,128.19,130.69,135.36,143.20,150.95,154.99,158.68
ATNHPIUS16015A,"Boise County, ID",16015,134.53,101.63,114.03,116.99,127.24,129.37,145.76,160.06,177.30,195.93,217.83
ATNHPIUS28011A,"Bolivar County, MS",28011,121.65,124.21,123.37,125.81,130.15,133.15,133.59,138.42,139.57,139.52,146.93
ATNHPIUS29017A,"Bollinger County, MO",29017,128.60,121.48,125.58,123.90,138.09,131.36,135.94,148.03,140.36,150.98,161.75
ATNHPIUS17005A,"Bond County, IL",17005,130.55,128.85,130.87,129.73,130.82,128.61,134.86,135.12,133.32,139.66,145.80
ATNHPIUS16017A,"Bonner County, ID",16017,153.88,141.36,138.90,142.69,150.02,160.94,168.31,183.12,204.92,221.56,243.76
ATNHPIUS16019A,"Bonneville County, ID",16019,135.74,127.92,126.70,126.70,128.60,133.97,145.01,157.14,174.43,193.89,214.26
ATNHPIUS19015A,"Boone County, IA",19015,126.89,126.05,125.66,126.91,126.31,129.42,136.47,142.45,149.21,155.95,155.73
ATNHPIUS17007A,"Boone County, IL",17007,104.61,98.16,92.22,89.11,88.70,92.00,94.52,98.36,102.19,106.77,107.72
ATNHPIUS21015A,"Boone County, KY",21015,110.24,107.28,106.15,105.75,107.78,110.82,114.50,119.95,125.59,132.03,137.67
ATNHPIUS18011A,"Boone County, IN",18011,116.03,115.84,115.94,116.11,120.48,123.28,131.05,137.08,144.74,151.78,158.47
ATNHPIUS29019A,"Boone County, MO",29019,128.40,127.28,128.24,130.03,133.30,136.77,141.82,146.37,150.37,155.01,161.32
ATNHPIUS05009A,"Boone County, AR",05009,130.71,126.10,125.92,126.23,124.30,128.21,128.49,134.24,140.89,141.16,144.63
ATNHPIUS48035A,"Bosque County, TX",48035,147.89,138.29,153.77,149.26,154.78,160.64,167.67,181.63,,,
ATNHPIUS22015A,"Bossier Parish, LA",22015,141.71,141.53,144.77,144.10,143.16,146.57,148.06,150.95,152.41,153.27,158.73
ATNHPIUS51023A,"Botetourt County, VA",51023,139.60,132.85,129.58,128.45,130.06,133.65,132.61,135.54,142.58,147.94,152.36
ATNHPIUS08013A,"Boulder County, CO",08013,125.06,122.61,123.88,129.61,141.94,155.64,175.23,189.81,204.30,211.12,213.92
ATNHPIUS16021A,"Boundary County, ID",16021,140.92,127.19,128.82,130.65,134.20,138.70,155.91,165.99,178.86,199.06,209.95
ATNHPIUS20011A,"Bourbon County, KS",20011,120.66,120.27,117.15,118.06,125.57,120.91,116.76,127.05,135.09,143.51,138.10
ATNHPIUS21017A,"Bourbon County, KY",21017,127.68,124.25,124.63,124.71,124.07,133.69,134.00,136.83,143.85,148.07,152.71
